PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT (2020),BIN,BBL,NTA (2020)
1FHG,X410,Asbestos  abatement,HS OF BUSINESS - BRONX,240 EAST 172 STREET,30987,03/31/2023,BRONX,10457,40.840422,-73.91091,204,16,225,2007806,2028170002,BX0403
1FHH,K017,Asbestos  abatement,I.S. 577 - BROOKLYN,208 NORTH 5 STREET,59641,03/31/2023,BROOKLYN,11211,40.715351,-73.956716,301,34,519,3062337,3023450001,BK0102
1FHI,X091,Asbestos  abatement,P.S. 91 - BRONX,2170 AQUEDUCT AVENUE,100973,03/31/2023,BRONX,10453,40.857689,-73.908349,205,14,251,2094683,2032070040,BX0501
1FHJ,K324,Asbestos  abatement,I.S. 267 - BROOKLYN,800 GATES AVENUE,246641,03/31/2023,BROOKLYN,11221,40.68832,-73.932275,303,36,293,3044657,3016360001,BK0302
1FHK,M192,Asbestos  abatement,P.S. 192 - MANHATTAN,500 WEST 138 STREET,122252,03/31/2023,MANHATTAN,10031,40.820953,-73.951145,109,7,22301,1084132,1019880166,MN0902
1FHL,Q455,Asbestos  abatement,NEWTOWN HS - QUEENS,48-01 90 STREET,50654,03/31/2023,QUEENS,11373,40.741122,-73.874721,404,25,461,4045629,4018490001,QN0401
1FHM,K025,Asbestos  abatement,P.S. 25 - BROOKLYN,787 LAFAYETTE AVENUE,21506,03/31/2023,BROOKLYN,11221,40.691037,-73.941342,303,36,281,3049858,3017870014,BK0302
1FHN,M110,Asbestos  abatement,P.S. 110 - MANHATTAN,285 DELANCEY STREET,29682,03/31/2023,MANHATTAN,10002,40.715915,-73.979893,103,1,12,1004066,1003310140,MN0302
1FHO,M470,"Emergency, Unspecified",FRANK MCCOURT HS- MANHATTAN,145 WEST 84 STREET,21661,03/31/2023,MANHATTAN,10024,40.785803,-73.974614,107,6,169,1032128,1012150001,MN0702
1FHP,K157,Asbestos  abatement,P.S. 157 - BROOKLYN,850 KENT AVENUE,26326,03/31/2023,BROOKLYN,11205,40.695417,-73.959571,303,33,1237,3054671,3018970013,BK0301
1FHQ,K084,Asbestos  abatement,P.S. 84 - BROOKLYN,250 BERRY STREET,26508,03/31/2023,BROOKLYN,11249,40.714785,-73.963,301,34,551,3062766,3023910001,BK0102
1FHR,K054,Asbestos  abatement,P.S. 54 - BROOKLYN,195 SANDFORD STREET,45307,03/31/2023,BROOKLYN,11205,40.692741,-73.952981,303,33,241,3049020,3017650015,BK0301
1FHT,X008,Asbestos  abatement,P.S. 8 - BRONX,3010 BRIGGS AVENUE,48343,03/31/2023,BRONX,10458,40.872612,-73.883574,207,11,415,2094734,2032990060,BX0702
1FHU,M535,Asbestos  abatement,MANHATTAN BRIDGES - MANHATTAN,525 WEST 50 STREET,65659,03/31/2023,MANHATTAN,10019,40.765234,-73.993076,104,3,13501,1083802,1010790029,MN0402
1FHV,K460,Asbestos  abatement,MILLENIUM BROOKLYN HIGH SCHOOL,237 7TH AVENUE,44260,03/31/2023,BROOKLYN,11215,40.669629,-73.979287,306,39,155,3025510,3010820001,BK0602
1FHW,K206,Asbestos  abatement,P.S. 206 - BROOKLYN,2200 GRAVESEND NECK ROAD,324532,03/31/2023,BROOKLYN,11229,40.597369,-73.948946,315,48,59403,3201080,3073810201,BK1503
1FHX,X071,Asbestos  abatement,P.S. 71 - BRONX,3040 ROBERTS AVENUE,16107,03/31/2023,BRONX,10461,40.845787,-73.829829,210,13,26602,2046140,2041710001,BX1003
1FHY,K233,Asbestos  abatement,P.S. 233 - BROOKLYN,9301 AVENUE B,118111,03/31/2023,BROOKLYN,11236,40.651022,-73.91402,317,42,930,3104990,3047530001,BK1704
1FHZ,K073,Asbestos  abatement,BROOKLYN ENVIRONMENTAL EXPLORA,251 MACDOUGAL STREET,27201,03/31/2023,BROOKLYN,11233,40.680318,-73.910644,316,37,369,3041561,3015280001,BK1601
