School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,28303,15,29,687,11
2022-2023,02533,5,9,126,3
2022-2023,12047,103,157,5367,12
2022-2023,21850,31,44,1238,12
2022-2023,18030,4,5,136,4
2022-2023,31034,36,72,2328,13
2022-2023,31461,167,225,1548,14
2022-2023,15721,5,6,130,4
2022-2023,24128,41,63,2201,22
2022-2023,25285,16,35,1219,9
2022-2023,29138,15,38,1232,10
2022-2023,07157,11,26,960,9
2022-2023,20729,12,17,470,8
2022-2023,26525,7,7,189,7
2022-2023,25163,33,62,1990,12
2022-2023,22782,3,14,577,2
2022-2023,30004,12,19,557,8
2022-2023,17029,2,2,47,2
2022-2023,03480,1,2,50,1
2022-2023,30329,40,92,3253,24
2022-2023,27282,11,13,315,8
2022-2023,04736,1,1,21,1
2022-2023,14562,5,12,427,4
2022-2023,09021,2,3,85,2
2022-2023,24199,22,27,881,15
2022-2023,15675,15,47,1749,10
2022-2023,02538,2,2,66,2
2022-2023,26158,10,18,600,6
2022-2023,20164,38,69,1700,20
2022-2023,11378,7,17,674,5
2022-2023,31173,1,1,31,1
2022-2023,10807,7,8,187,4
2022-2023,13586,1,5,220,1
2022-2023,02554,3,5,121,2
2022-2023,29147,13,39,1295,10
2022-2023,29003,1,1,12,1
2022-2023,18379,11,18,565,8
2022-2023,07043,41,92,2719,20
2022-2023,12486,9,14,321,7
2022-2023,31739,4,9,289,4
2022-2023,11175,21,32,974,14
2022-2023,11181,11,33,1112,10
2022-2023,31169,10,13,223,3
2022-2023,10717,14,17,419,10
2022-2023,20555,3,6,184,3
2022-2023,24296,10,15,472,10
2022-2023,26191,4,8,249,4
2022-2023,10447,20,49,1638,6
2022-2023,02002,13,23,818,7
2022-2023,03712,13,19,439,3
2022-2023,25107,33,52,1775,19
2022-2023,15032,7,14,459,6
2022-2023,15024,11,20,630,6
2022-2023,30230,20,36,986,12
2022-2023,12195,8,37,1361,3
2022-2023,27114,12,20,699,11
2022-2023,10544,6,12,181,3
2022-2023,13874,5,15,549,4
2022-2023,05318,38,51,1415,10
2022-2023,29136,2,6,161,2
2022-2023,02580,44,73,2388,20
2022-2023,24229,68,104,3438,28
2022-2023,07223,13,35,1276,8
2022-2023,02725,3,3,112,3
2022-2023,12456,9,18,469,6
2022-2023,26187,838,1683,15538,20
2022-2023,24014,23,66,2240,12
2022-2023,24027,2280,2617,30997,15
2022-2023,13433,1,1,17,1
