SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M288,140,,,,,,,,,51,24,27,38,S,8,81,43,,8,S,29,7,8,6,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M289,145,,,,,,46,63,36,,,,,S,69,17,6,T,45,,25,S,,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,,S
02M290,173,45,26,30,41,31,,,,,,,,S,15,14,S,S,128,,29,S,,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,S
02M294,227,,,,,,,,,66,73,52,36,S,14,89,53,S,55,T,50,S,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M296,87,,,,,,,,,30,21,18,18,S,6,62,15,,S,S,17,11,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M297,200,,,,,,69,57,74,,,,,S,S,46,10,17,117,,32,S,S,8,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
02M298,213,,,,,,,,,51,78,24,60,S,25,106,56,S,17,S,29,8,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M300,54,,,,,,,,,16,14,10,14,S,S,39,9,S,S,S,15,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M303,126,,,,,,,,,37,33,37,19,S,S,94,21,S,S,S,35,11,7,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M305,153,,,,,,,,,50,41,35,27,S,25,80,39,,S,S,24,S,8,10,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M308,208,,,,,,,,,74,66,40,28,S,23,117,59,,S,S,60,17,6,16,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M312,304,,,,,,107,94,103,,,,,S,132,25,S,25,116,S,49,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M313,51,,,,,,,,,T,18,S,24,S,S,24,22,,S,S,21,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M316,59,,,,,,,,,19,7,16,17,S,S,33,19,S,S,S,T,7,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M340,130,28,19,36,22,25,,,,,,,,,13,S,S,28,78,,18,S,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
02M343,173,32,43,29,35,34,,,,,,,,,28,20,11,27,87,,34,6,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
02M347,73,T,T,T,9,T,9,6,S,,,,,S,S,44,14,S,12,,40,12,S,11,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
02M374,89,,,,,,,,,45,28,10,6,S,7,43,22,S,12,S,11,S,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M376,227,,,,,,,,,47,64,51,65,S,14,38,19,T,126,17,57,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M392,120,,,,,,,,,44,29,23,24,S,S,70,34,S,9,S,33,14,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M393,77,,,,,,,,,37,22,S,S,S,S,46,24,S,S,S,20,8,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M394,T,,,,,,,,,T,T,T,T,S,T,T,T,,T,,S,T,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
02M397,235,31,28,32,32,32,36,23,21,,,,,S,47,38,S,31,113,S,37,S,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M399,31,,,,,,,,,11,S,S,9,,7,18,S,S,S,S,S,S,S,S,S,,,,,,,,,S,S,S,S,,,S,S,S,S,S,S,S,S,S
02M400,113,,,,,,,,,34,43,24,12,S,14,52,8,S,29,S,16,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
